Feature,human,gpt
func_words:once,-0.05901876134713077,0.05901876134713077
func_words:under,0.05899725747345271,-0.05899725747345271
pos_bigrams:CCONJ PART,0.05885165062055425,-0.05885165062055425
pos_bigrams:ADV PROPN,0.058390899243018005,-0.058390899243018005
func_words:never,0.05784795124097483,-0.05784795124097483
func_words:hard,0.05782202614698318,-0.05782202614698318
func_words:up,0.05767666920909146,-0.05767666920909146
func_words:mine,0.05726276713566449,-0.05726276713566449
pos_bigrams:X INTJ,0.05723154379392894,-0.05723154379392894
func_words:without,-0.05689390261614902,0.05689390261614902
pos_bigrams:SYM DET,0.056313947287175085,-0.056313947287175085
"punctuation:""",-0.056240949104210264,0.056240949104210264
dep_labels:det,0.05621298217690182,-0.05621298217690182
func_words:late,-0.055853756331032275,0.055853756331032275
func_words:really,0.055787084171233715,-0.055787084171233715
dep_labels:advmod,0.05577710163810597,-0.05577710163810597
pos_bigrams:CCONJ X,0.055602065148219824,-0.055602065148219824
pos_bigrams:PUNCT SYM,-0.05546065269553735,0.05546065269553735
func_words:a,0.0550727810984752,-0.0550727810984752
func_words:rather,-0.054715090398206,0.054715090398206
func_words:long,0.05461928812621319,-0.05461928812621319
dep_labels:poss,-0.05456998099830174,0.05456998099830174
dep_labels:parataxis,0.05454251930382217,-0.05454251930382217
pos_bigrams:ADV DET,-0.053899038263295444,0.053899038263295444
func_words:not,0.05326183212299606,-0.05326183212299606
func_words:haven,-0.052480289086838924,0.052480289086838924
pos_bigrams:X ADP,0.05242047185628643,-0.05242047185628643
pos_bigrams:PRON NUM,0.05214339616793136,-0.05214339616793136
pos_bigrams:SCONJ CCONJ,0.051984791240988384,-0.051984791240988384
func_words:'re,-0.05168268677735327,0.05168268677735327
pos_bigrams:NOUN SCONJ,0.05100405054285136,-0.05100405054285136
pos_bigrams:NUM PRON,-0.05091194340005401,0.05091194340005401
pos_bigrams:PROPN ADV,0.04994045106989461,-0.04994045106989461
pos_unigrams:DET,0.049497448066741716,-0.049497448066741716
func_words:it,-0.04940893291552504,0.04940893291552504
pos_bigrams:PROPN PROPN,0.048290227587493365,-0.048290227587493365
pos_bigrams:AUX SCONJ,-0.04709186129717173,0.04709186129717173
pos_bigrams:CCONJ CCONJ,0.046990358933180015,-0.046990358933180015
pos_bigrams:VERB DET,-0.04679046890102969,0.04679046890102969
func_words:an,0.04677907530470798,-0.04677907530470798
